FAMA-model_20100412_337845737.xml , 10 , 1.0 , 405
CIMS Product Line , _r_2 , 1.0 , 508
CIMS Product Line , _r_2_14 , 1.0 , 93
CIMS Product Line , _r_2_15 , 1.0 , 406
CIMS Product Line , _r_2_16 , 1.0 , 93
CIMS Product Line , _r_2_18 , 1.0 , 390
CIMS Product Line , _r_3 , 1.0 , 94
CIMS Product Line , _r_5 , 1.0 , 406
CIMS Product Line , _r_6 , 1.0 , 93
CIMS Product Line , _r_7 , 1.0 , 390
_r_2 , _r_2_14 , 1.0 , 94
_r_2 , _r_2_15 , 1.0 , 452
_r_2 , _r_2_16 , 1.0 , 94
_r_2 , _r_2_18 , 1.0 , 374
_r_2 , _r_3 , 1.0 , 109
_r_2 , _r_5 , 1.0 , 406
_r_2 , _r_6 , 1.0 , 93
_r_2 , _r_7 , 1.0 , 375
_r_2_14 , _r_2_15 , 1.0 , 109
_r_2_14 , _r_2_16 , 1.0 , 421
_r_2_14 , _r_2_18 , 1.0 , 94
_r_2_14 , _r_3 , 1.0 , 374
_r_2_14 , _r_5 , 1.0 , 109
_r_2_14 , _r_6 , 1.0 , 390
_r_2_14 , _r_7 , 1.0 , 125
_r_2_15 , _r_2_16 , 1.0 , 374
_r_2_15 , _r_2_18 , 1.0 , 94
_r_2_15 , _r_3 , 1.0 , 390
_r_2_15 , _r_5 , 1.0 , 109
_r_2_15 , _r_6 , 1.0 , 374
_r_2_15 , _r_7 , 1.0 , 94
_r_2_16 , _r_2_18 , 1.0 , 421
_r_2_16 , _r_3 , 1.0 , 94
_r_2_16 , _r_5 , 1.0 , 405
_r_2_16 , _r_6 , 1.0 , 109
_r_2_16 , _r_7 , 1.0 , 406
_r_2_18 , _r_3 , 1.0 , 109
_r_2_18 , _r_5 , 1.0 , 375
_r_2_18 , _r_6 , 1.0 , 93
_r_2_18 , _r_7 , 1.0 , 390
_r_3 , _r_5 , 1.0 , 94
_r_3 , _r_6 , 1.0 , 437
_r_3 , _r_7 , 1.0 , 93
_r_5 , _r_6 , 1.0 , 390
_r_5 , _r_7 , 1.0 , 109
_r_6 , _r_7 , 1.0 , 375
11427,45
