FAMA-model_20100719_944437142.xml , 29 , 17280.0 , 172
TV-Series Shirts , _r_19 , 17280.0 , 500
TV-Series Shirts , _r_19_20_21 , 2232.0 , 156
TV-Series Shirts , _r_19_20_22 , 4536.0 , 405
TV-Series Shirts , _r_19_20_23 , 2232.0 , 109
TV-Series Shirts , _r_19_20_24 , 2232.0 , 515
TV-Series Shirts , _r_19_20_38 , 6048.0 , 125
TV-Series Shirts , _r_26 , 17280.0 , 390
TV-Series Shirts , _r_26_27_28 , 4320.0 , 109
TV-Series Shirts , _r_26_27_29 , 4320.0 , 406
TV-Series Shirts , _r_26_27_30 , 4320.0 , 93
TV-Series Shirts , _r_26_27_31 , 4320.0 , 406
TV-Series Shirts , _r_32 , 14400.0 , 125
TV-Series Shirts , _r_32_33_34 , 8640.0 , 405
TV-Series Shirts , _r_32_33_35 , 5760.0 , 125
TV-Series Shirts , _r_32_33_36 , 11520.0 , 390
TV-Series Shirts , _r_6 , 17280.0 , 93
TV-Series Shirts , _r_6_12_13 , 8832.0 , 406
TV-Series Shirts , _r_6_12_14 , 8832.0 , 94
TV-Series Shirts , _r_6_12_15 , 8832.0 , 421
TV-Series Shirts , _r_6_12_16 , 8832.0 , 93
TV-Series Shirts , _r_6_12_17 , 8832.0 , 390
TV-Series Shirts , _r_6_12_18 , 2304.0 , 110
TV-Series Shirts , _r_6_12_25 , 3072.0 , 390
TV-Series Shirts , _r_7 , 17280.0 , 109
TV-Series Shirts , _r_7_8_10 , 1512.0 , 390
TV-Series Shirts , _r_7_8_11 , 5256.0 , 109
TV-Series Shirts , _r_7_8_37 , 5256.0 , 374
TV-Series Shirts , _r_7_8_9 , 5256.0 , 94
_r_19 , _r_19_20_21 , 2232.0 , 374
_r_19 , _r_19_20_22 , 4536.0 , 93
_r_19 , _r_19_20_23 , 2232.0 , 406
_r_19 , _r_19_20_24 , 2232.0 , 93
_r_19 , _r_19_20_38 , 6048.0 , 390
_r_19 , _r_26 , 17280.0 , 110
_r_19 , _r_26_27_28 , 4320.0 , 405
_r_19 , _r_26_27_29 , 4320.0 , 109
_r_19 , _r_26_27_30 , 4320.0 , 375
_r_19 , _r_26_27_31 , 4320.0 , 187
_r_19 , _r_32 , 14400.0 , 390
_r_19 , _r_32_33_34 , 8640.0 , 94
_r_19 , _r_32_33_35 , 5760.0 , 390
_r_19 , _r_32_33_36 , 11520.0 , 109
_r_19 , _r_6 , 17280.0 , 421
_r_19 , _r_6_12_13 , 8832.0 , 109
_r_19 , _r_6_12_14 , 8832.0 , 390
_r_19 , _r_6_12_15 , 8832.0 , 94
_r_19 , _r_6_12_16 , 8832.0 , 374
_r_19 , _r_6_12_17 , 8832.0 , 109
_r_19 , _r_6_12_18 , 2304.0 , 375
_r_19 , _r_6_12_25 , 3072.0 , 93
_r_19 , _r_7 , 17280.0 , 375
_r_19 , _r_7_8_10 , 1512.0 , 109
_r_19 , _r_7_8_11 , 5256.0 , 374
_r_19 , _r_7_8_37 , 5256.0 , 110
_r_19 , _r_7_8_9 , 5256.0 , 374
_r_19_20_21 , _r_19_20_22 , 0.0 , 94
_r_19_20_21 , _r_19_20_23 , 0.0 , 374
_r_19_20_21 , _r_19_20_24 , 0.0 , 109
_r_19_20_21 , _r_19_20_38 , 0.0 , 359
_r_19_20_21 , _r_26 , 2232.0 , 109
_r_19_20_21 , _r_26_27_28 , 558.0 , 375
_r_19_20_21 , _r_26_27_29 , 558.0 , 109
_r_19_20_21 , _r_26_27_30 , 558.0 , 374
_r_19_20_21 , _r_26_27_31 , 558.0 , 109
_r_19_20_21 , _r_32 , 1860.0 , 359
_r_19_20_21 , _r_32_33_34 , 1116.0 , 109
_r_19_20_21 , _r_32_33_35 , 744.0 , 375
_r_19_20_21 , _r_32_33_36 , 1488.0 , 109
_r_19_20_21 , _r_6 , 2232.0 , 374
_r_19_20_21 , _r_6_12_13 , 1152.0 , 94
_r_19_20_21 , _r_6_12_14 , 1152.0 , 374
_r_19_20_21 , _r_6_12_15 , 1152.0 , 110
_r_19_20_21 , _r_6_12_16 , 1152.0 , 390
_r_19_20_21 , _r_6_12_17 , 1152.0 , 124
_r_19_20_21 , _r_6_12_18 , 0.0 , 390
_r_19_20_21 , _r_6_12_25 , 0.0 , 110
_r_19_20_21 , _r_7 , 2232.0 , 374
_r_19_20_21 , _r_7_8_10 , 0.0 , 140
_r_19_20_21 , _r_7_8_11 , 744.0 , 390
_r_19_20_21 , _r_7_8_37 , 744.0 , 94
_r_19_20_21 , _r_7_8_9 , 744.0 , 390
_r_19_20_22 , _r_19_20_23 , 0.0 , 140
_r_19_20_22 , _r_19_20_24 , 0.0 , 390
_r_19_20_22 , _r_19_20_38 , 0.0 , 94
_r_19_20_22 , _r_26 , 4536.0 , 390
_r_19_20_22 , _r_26_27_28 , 1134.0 , 125
_r_19_20_22 , _r_26_27_29 , 1134.0 , 375
_r_19_20_22 , _r_26_27_30 , 1134.0 , 109
_r_19_20_22 , _r_26_27_31 , 1134.0 , 390
_r_19_20_22 , _r_32 , 3780.0 , 140
_r_19_20_22 , _r_32_33_34 , 2268.0 , 390
_r_19_20_22 , _r_32_33_35 , 1512.0 , 94
_r_19_20_22 , _r_32_33_36 , 3024.0 , 390
_r_19_20_22 , _r_6 , 4536.0 , 109
_r_19_20_22 , _r_6_12_13 , 2304.0 , 390
_r_19_20_22 , _r_6_12_14 , 2304.0 , 94
_r_19_20_22 , _r_6_12_15 , 2304.0 , 390
_r_19_20_22 , _r_6_12_16 , 2304.0 , 109
_r_19_20_22 , _r_6_12_17 , 2304.0 , 406
_r_19_20_22 , _r_6_12_18 , 2304.0 , 109
_r_19_20_22 , _r_6_12_25 , 0.0 , 374
_r_19_20_22 , _r_7 , 4536.0 , 109
_r_19_20_22 , _r_7_8_10 , 0.0 , 421
_r_19_20_22 , _r_7_8_11 , 1512.0 , 109
_r_19_20_22 , _r_7_8_37 , 1512.0 , 375
_r_19_20_22 , _r_7_8_9 , 1512.0 , 109
_r_19_20_23 , _r_19_20_24 , 0.0 , 390
_r_19_20_23 , _r_19_20_38 , 0.0 , 125
_r_19_20_23 , _r_26 , 2232.0 , 390
_r_19_20_23 , _r_26_27_28 , 558.0 , 109
_r_19_20_23 , _r_26_27_29 , 558.0 , 374
_r_19_20_23 , _r_26_27_30 , 558.0 , 125
_r_19_20_23 , _r_26_27_31 , 558.0 , 390
_r_19_20_23 , _r_32 , 1860.0 , 109
_r_19_20_23 , _r_32_33_34 , 1116.0 , 390
_r_19_20_23 , _r_32_33_35 , 744.0 , 110
_r_19_20_23 , _r_32_33_36 , 1488.0 , 390
_r_19_20_23 , _r_6 , 2232.0 , 109
_r_19_20_23 , _r_6_12_13 , 1152.0 , 374
_r_19_20_23 , _r_6_12_14 , 1152.0 , 109
_r_19_20_23 , _r_6_12_15 , 1152.0 , 390
_r_19_20_23 , _r_6_12_16 , 1152.0 , 110
_r_19_20_23 , _r_6_12_17 , 1152.0 , 390
_r_19_20_23 , _r_6_12_18 , 0.0 , 109
_r_19_20_23 , _r_6_12_25 , 0.0 , 374
_r_19_20_23 , _r_7 , 2232.0 , 109
_r_19_20_23 , _r_7_8_10 , 0.0 , 390
_r_19_20_23 , _r_7_8_11 , 744.0 , 110
_r_19_20_23 , _r_7_8_37 , 744.0 , 405
_r_19_20_23 , _r_7_8_9 , 744.0 , 109
_r_19_20_24 , _r_19_20_38 , 0.0 , 390
_r_19_20_24 , _r_26 , 2232.0 , 94
_r_19_20_24 , _r_26_27_28 , 558.0 , 406
_r_19_20_24 , _r_26_27_29 , 558.0 , 93
_r_19_20_24 , _r_26_27_30 , 558.0 , 421
_r_19_20_24 , _r_26_27_31 , 558.0 , 110
_r_19_20_24 , _r_32 , 1860.0 , 374
_r_19_20_24 , _r_32_33_34 , 1116.0 , 109
_r_19_20_24 , _r_32_33_35 , 744.0 , 453
_r_19_20_24 , _r_32_33_36 , 1488.0 , 93
_r_19_20_24 , _r_6 , 2232.0 , 484
_r_19_20_24 , _r_6_12_13 , 1152.0 , 109
_r_19_20_24 , _r_6_12_14 , 1152.0 , 390
_r_19_20_24 , _r_6_12_15 , 1152.0 , 109
