FAMA-model_20091219_494647199.xml , 11 , 16.0 , 15
E-Portal , _r_1 , 16.0 , 94
E-Portal , _r_2 , 16.0 , 16
E-Portal , _r_3 , 16.0 , 62
E-Portal , _r_4 , 16.0 , 16
E-Portal , _r_4_5 , 16.0 , 78
E-Portal , _r_4_6 , 8.0 , 15
E-Portal , _r_4_7 , 12.0 , 63
E-Portal , _r_4_7_9_10 , 8.0 , 31
E-Portal , _r_4_7_9_11 , 8.0 , 62
E-Portal , _r_4_8 , 8.0 , 16
_r_1 , _r_2 , 16.0 , 62
_r_1 , _r_3 , 16.0 , 16
_r_1 , _r_4 , 16.0 , 62
_r_1 , _r_4_5 , 16.0 , 31
_r_1 , _r_4_6 , 8.0 , 63
_r_1 , _r_4_7 , 12.0 , 15
_r_1 , _r_4_7_9_10 , 8.0 , 63
_r_1 , _r_4_7_9_11 , 8.0 , 15
_r_1 , _r_4_8 , 8.0 , 63
_r_2 , _r_3 , 16.0 , 15
_r_2 , _r_4 , 16.0 , 62
_r_2 , _r_4_5 , 16.0 , 16
_r_2 , _r_4_6 , 8.0 , 62
_r_2 , _r_4_7 , 12.0 , 16
_r_2 , _r_4_7_9_10 , 8.0 , 62
_r_2 , _r_4_7_9_11 , 8.0 , 32
_r_2 , _r_4_8 , 8.0 , 62
_r_3 , _r_4 , 16.0 , 16
_r_3 , _r_4_5 , 16.0 , 62
_r_3 , _r_4_6 , 8.0 , 16
_r_3 , _r_4_7 , 12.0 , 62
_r_3 , _r_4_7_9_10 , 8.0 , 16
_r_3 , _r_4_7_9_11 , 8.0 , 78
_r_3 , _r_4_8 , 8.0 , 15
_r_4 , _r_4_5 , 16.0 , 63
_r_4 , _r_4_6 , 8.0 , 15
_r_4 , _r_4_7 , 12.0 , 63
_r_4 , _r_4_7_9_10 , 8.0 , 15
_r_4 , _r_4_7_9_11 , 8.0 , 63
_r_4 , _r_4_8 , 8.0 , 31
_r_4_5 , _r_4_6 , 8.0 , 62
_r_4_5 , _r_4_7 , 12.0 , 16
_r_4_5 , _r_4_7_9_10 , 8.0 , 62
_r_4_5 , _r_4_7_9_11 , 8.0 , 16
_r_4_5 , _r_4_8 , 8.0 , 62
_r_4_6 , _r_4_7 , 6.0 , 16
_r_4_6 , _r_4_7_9_10 , 4.0 , 62
_r_4_6 , _r_4_7_9_11 , 4.0 , 31
_r_4_6 , _r_4_8 , 4.0 , 63
_r_4_7 , _r_4_7_9_10 , 8.0 , 15
_r_4_7 , _r_4_7_9_11 , 8.0 , 63
_r_4_7 , _r_4_8 , 6.0 , 15
_r_4_7_9_10 , _r_4_7_9_11 , 4.0 , 63
_r_4_7_9_10 , _r_4_8 , 4.0 , 31
_r_4_7_9_11 , _r_4_8 , 4.0 , 62
2324,55
