FAMA-REAL-FM-13.xml , 12 , 24.0 , 78
ipvoice , large , 5.0 , 219
ipvoice , medium , 5.0 , 62
ipvoice , messaging , 9.0 , 281
ipvoice , rack , 15.0 , 62
ipvoice , sizes , 15.0 , 219
ipvoice , small , 5.0 , 62
ipvoice , software , 15.0 , 219
ipvoice , swpack1 , 6.0 , 46
ipvoice , swpack2 , 9.0 , 219
ipvoice , tecom , 15.0 , 47
ipvoice , upgrade_swpack , 3.0 , 218
large , medium , 0.0 , 62
large , messaging , 5.0 , 219
large , rack , 8.0 , 62
large , sizes , 8.0 , 219
large , small , 0.0 , 62
large , software , 5.0 , 218
large , swpack1 , 2.0 , 63
large , swpack2 , 3.0 , 203
large , tecom , 8.0 , 62
large , upgrade_swpack , 2.0 , 218
medium , messaging , 5.0 , 47
medium , rack , 8.0 , 219
medium , sizes , 8.0 , 62
medium , small , 0.0 , 218
medium , software , 5.0 , 47
medium , swpack1 , 2.0 , 219
medium , swpack2 , 3.0 , 62
medium , tecom , 8.0 , 218
medium , upgrade_swpack , 2.0 , 63
messaging , rack , 15.0 , 203
messaging , sizes , 15.0 , 62
messaging , small , 5.0 , 203
messaging , software , 9.0 , 62
messaging , swpack1 , 3.0 , 203
messaging , swpack2 , 6.0 , 62
messaging , tecom , 15.0 , 219
messaging , upgrade_swpack , 6.0 , 47
rack , sizes , 24.0 , 218
rack , small , 8.0 , 78
rack , software , 15.0 , 203
rack , swpack1 , 6.0 , 62
rack , swpack2 , 9.0 , 219
rack , tecom , 24.0 , 62
rack , upgrade_swpack , 6.0 , 203
sizes , small , 8.0 , 62
sizes , software , 15.0 , 219
sizes , swpack1 , 6.0 , 46
sizes , swpack2 , 9.0 , 219
sizes , tecom , 24.0 , 47
sizes , upgrade_swpack , 6.0 , 234
small , software , 5.0 , 46
small , swpack1 , 2.0 , 203
small , swpack2 , 3.0 , 63
small , tecom , 8.0 , 218
small , upgrade_swpack , 2.0 , 62
software , swpack1 , 6.0 , 203
software , swpack2 , 9.0 , 63
software , tecom , 15.0 , 218
software , upgrade_swpack , 3.0 , 47
swpack1 , swpack2 , 0.0 , 203
swpack1 , tecom , 6.0 , 62
swpack1 , upgrade_swpack , 0.0 , 218
swpack2 , tecom , 9.0 , 47
swpack2 , upgrade_swpack , 3.0 , 203
tecom , upgrade_swpack , 6.0 , 62
9048,66
