FAMA-model_20091205_755658379.xml , 94 , 2.322432E7 , 874
Coche ecologico , _r_1 , 2.322432E7 , 1039
Coche ecologico , _r_1_20 , 2.322432E7 , 967
Coche ecologico , _r_1_20_21 , 2.322432E7 , 1092
Coche ecologico , _r_1_20_21_25 , 2.322432E7 , 952
Coche ecologico , _r_1_20_26 , 2.322432E7 , 1076
Coche ecologico , _r_1_20_26_27_28 , 5806080.0 , 640
Coche ecologico , _r_1_20_26_27_29 , 1.741824E7 , 967
Coche ecologico , _r_1_20_26_27_29_30_31 , 5806080.0 , 671
Coche ecologico , _r_1_20_26_27_29_30_32 , 5806080.0 , 686
Coche ecologico , _r_1_20_26_27_29_30_33 , 5806080.0 , 640
Coche ecologico , _r_1_5 , 2.322432E7 , 1061
Coche ecologico , _r_1_5_6_7 , 1.032192E7 , 811
Coche ecologico , _r_1_5_6_7_9_10 , 2580480.0 , 749
Coche ecologico , _r_1_5_6_7_9_11 , 2580480.0 , 593
Coche ecologico , _r_1_5_6_7_9_12 , 2580480.0 , 748
Coche ecologico , _r_1_5_6_7_9_13 , 2580480.0 , 593
Coche ecologico , _r_1_5_6_8 , 1.29024E7 , 843
Coche ecologico , _r_1_5_6_8_14_15 , 2580480.0 , 577
Coche ecologico , _r_1_5_6_8_14_16 , 2580480.0 , 733
Coche ecologico , _r_1_5_6_8_14_17 , 2580480.0 , 593
Coche ecologico , _r_1_5_6_8_14_18 , 2580480.0 , 686
Coche ecologico , _r_1_5_6_8_14_19 , 2580480.0 , 577
Coche ecologico , _r_1_72 , 2.322432E7 , 1077
Coche ecologico , _r_1_72_73_74 , 1.161216E7 , 639
Coche ecologico , _r_1_72_73_75 , 1.161216E7 , 827
Coche ecologico , _r_1_96 , 1.161216E7 , 921
Coche ecologico , _r_2 , 2.322432E7 , 1076
Coche ecologico , _r_2_34 , 2.322432E7 , 952
Coche ecologico , _r_2_34_37_38 , 6967296.0 , 795
Coche ecologico , _r_2_34_37_38_39_40 , 2322432.0 , 546
Coche ecologico , _r_2_34_37_38_39_41 , 2322432.0 , 687
Coche ecologico , _r_2_34_37_38_39_42 , 2322432.0 , 624
Coche ecologico , _r_2_34_37_43 , 1.6257024E7 , 858
Coche ecologico , _r_2_34_37_43_46_47 , 9289728.0 , 624
Coche ecologico , _r_2_34_37_43_46_47_49_50 , 2322432.0 , 702
Coche ecologico , _r_2_34_37_43_46_47_49_51 , 2322432.0 , 546
Coche ecologico , _r_2_34_37_43_46_47_49_52 , 2322432.0 , 670
Coche ecologico , _r_2_34_37_43_46_47_49_53 , 2322432.0 , 578
Coche ecologico , _r_2_34_37_43_46_48 , 6967296.0 , 717
Coche ecologico , _r_2_34_37_43_46_48_54_55 , 2322432.0 , 562
Coche ecologico , _r_2_34_37_43_46_48_54_56 , 2322432.0 , 733
Coche ecologico , _r_2_34_37_43_46_48_54_57 , 2322432.0 , 624
Coche ecologico , _r_2_58 , 2.322432E7 , 1014
Coche ecologico , _r_2_58_59_60 , 7741440.0 , 624
Coche ecologico , _r_2_58_59_61 , 1.548288E7 , 796
Coche ecologico , _r_2_62 , 2.322432E7 , 873
Coche ecologico , _r_2_62_63_64 , 1.548288E7 , 811
Coche ecologico , _r_2_62_63_65 , 7741440.0 , 702
Coche ecologico , _r_2_76 , 2.322432E7 , 921
Coche ecologico , _r_2_78 , 2.322432E7 , 967
Coche ecologico , _r_2_78_80 , 2.322432E7 , 936
Coche ecologico , _r_2_78_81 , 1.161216E7 , 1170
Coche ecologico , _r_2_78_82 , 1.741824E7 , 936
Coche ecologico , _r_2_78_82_83_84 , 1.161216E7 , 655
Coche ecologico , _r_2_78_82_83_85 , 1.161216E7 , 843
