FAMA-model_20091206_1647557456.xml , 10 , 135.0 , 93
Mobile Game , _r_1 , 135.0 , 16
Mobile Game , _r_1_6_10 , 72.0 , 62
Mobile Game , _r_1_6_7 , 72.0 , 16
Mobile Game , _r_1_6_8 , 72.0 , 78
Mobile Game , _r_1_6_9 , 72.0 , 15
Mobile Game , _r_2 , 90.0 , 63
Mobile Game , _r_2_12 , 45.0 , 15
Mobile Game , _r_3 , 90.0 , 63
Mobile Game , _r_3_13 , 45.0 , 15
_r_1 , _r_1_6_10 , 72.0 , 63
_r_1 , _r_1_6_7 , 72.0 , 31
_r_1 , _r_1_6_8 , 72.0 , 62
_r_1 , _r_1_6_9 , 72.0 , 16
_r_1 , _r_2 , 90.0 , 62
_r_1 , _r_2_12 , 45.0 , 32
_r_1 , _r_3 , 90.0 , 62
_r_1 , _r_3_13 , 45.0 , 16
_r_1_6_10 , _r_1_6_7 , 36.0 , 62
_r_1_6_10 , _r_1_6_8 , 36.0 , 16
_r_1_6_10 , _r_1_6_9 , 36.0 , 62
_r_1_6_10 , _r_2 , 48.0 , 16
_r_1_6_10 , _r_2_12 , 24.0 , 62
_r_1_6_10 , _r_3 , 48.0 , 16
_r_1_6_10 , _r_3_13 , 24.0 , 78
_r_1_6_7 , _r_1_6_8 , 36.0 , 15
_r_1_6_7 , _r_1_6_9 , 36.0 , 63
_r_1_6_7 , _r_2 , 48.0 , 15
_r_1_6_7 , _r_2_12 , 24.0 , 63
_r_1_6_7 , _r_3 , 48.0 , 15
_r_1_6_7 , _r_3_13 , 24.0 , 63
_r_1_6_8 , _r_1_6_9 , 36.0 , 15
_r_1_6_8 , _r_2 , 48.0 , 63
_r_1_6_8 , _r_2_12 , 24.0 , 15
_r_1_6_8 , _r_3 , 48.0 , 63
_r_1_6_8 , _r_3_13 , 24.0 , 31
_r_1_6_9 , _r_2 , 48.0 , 62
_r_1_6_9 , _r_2_12 , 24.0 , 16
_r_1_6_9 , _r_3 , 48.0 , 62
_r_1_6_9 , _r_3_13 , 24.0 , 16
_r_2 , _r_2_12 , 45.0 , 62
_r_2 , _r_3 , 60.0 , 16
_r_2 , _r_3_13 , 30.0 , 62
_r_2_12 , _r_3 , 30.0 , 31
_r_2_12 , _r_3_13 , 15.0 , 63
_r_3 , _r_3_13 , 45.0 , 15
1825,45
