FAMA-REAL-FM-10.xml , 14 , 48.0 , 203
__undefined_on_paper , _undefined_on_paper , 12.0 , 234
__undefined_on_paper , access_point , 12.0 , 281
__undefined_on_paper , file_converter , 8.0 , 62
__undefined_on_paper , file_upload , 16.0 , 219
__undefined_on_paper , follow_me , 24.0 , 62
__undefined_on_paper , logon , 24.0 , 219
__undefined_on_paper , printer_register , 16.0 , 62
__undefined_on_paper , rfid , 12.0 , 218
__undefined_on_paper , undefined_on_paper , 12.0 , 47
__undefined_on_paper , user_localize , 24.0 , 219
__undefined_on_paper , user_pos_method , 24.0 , 46
__undefined_on_paper , virtual_printer , 16.0 , 219
__undefined_on_paper , vof , 24.0 , 62
_undefined_on_paper , access_point , 12.0 , 203
_undefined_on_paper , file_converter , 8.0 , 62
_undefined_on_paper , file_upload , 16.0 , 234
_undefined_on_paper , follow_me , 24.0 , 47
_undefined_on_paper , logon , 24.0 , 219
_undefined_on_paper , printer_register , 16.0 , 46
_undefined_on_paper , rfid , 12.0 , 219
_undefined_on_paper , undefined_on_paper , 12.0 , 62
_undefined_on_paper , user_localize , 24.0 , 203
_undefined_on_paper , user_pos_method , 24.0 , 62
_undefined_on_paper , virtual_printer , 16.0 , 203
_undefined_on_paper , vof , 24.0 , 63
access_point , file_converter , 8.0 , 218
access_point , file_upload , 16.0 , 62
access_point , follow_me , 24.0 , 203
access_point , logon , 24.0 , 63
access_point , printer_register , 16.0 , 218
access_point , rfid , 0.0 , 47
access_point , undefined_on_paper , 12.0 , 218
access_point , user_localize , 24.0 , 47
access_point , user_pos_method , 24.0 , 218
access_point , virtual_printer , 16.0 , 63
access_point , vof , 24.0 , 203
file_converter , file_upload , 16.0 , 62
file_converter , follow_me , 16.0 , 203
file_converter , logon , 16.0 , 62
file_converter , printer_register , 16.0 , 203
file_converter , rfid , 8.0 , 46
file_converter , undefined_on_paper , 8.0 , 219
file_converter , user_localize , 16.0 , 47
file_converter , user_pos_method , 16.0 , 218
file_converter , virtual_printer , 16.0 , 62
file_converter , vof , 16.0 , 203
file_upload , follow_me , 32.0 , 63
file_upload , logon , 32.0 , 202
file_upload , printer_register , 32.0 , 63
file_upload , rfid , 16.0 , 203
file_upload , undefined_on_paper , 16.0 , 62
file_upload , user_localize , 32.0 , 203
file_upload , user_pos_method , 32.0 , 62
file_upload , virtual_printer , 32.0 , 219
file_upload , vof , 32.0 , 46
follow_me , logon , 48.0 , 219
follow_me , printer_register , 32.0 , 78
follow_me , rfid , 24.0 , 203
follow_me , undefined_on_paper , 24.0 , 62
follow_me , user_localize , 48.0 , 218
follow_me , user_pos_method , 48.0 , 47
follow_me , virtual_printer , 32.0 , 219
follow_me , vof , 48.0 , 46
logon , printer_register , 32.0 , 219
logon , rfid , 24.0 , 62
logon , undefined_on_paper , 24.0 , 203
logon , user_localize , 48.0 , 62
logon , user_pos_method , 48.0 , 203
logon , virtual_printer , 32.0 , 63
logon , vof , 48.0 , 202
printer_register , rfid , 16.0 , 63
printer_register , undefined_on_paper , 16.0 , 203
printer_register , user_localize , 32.0 , 62
printer_register , user_pos_method , 32.0 , 203
printer_register , virtual_printer , 32.0 , 62
printer_register , vof , 32.0 , 203
rfid , undefined_on_paper , 12.0 , 46
rfid , user_localize , 24.0 , 219
rfid , user_pos_method , 24.0 , 47
rfid , virtual_printer , 16.0 , 218
rfid , vof , 24.0 , 47
undefined_on_paper , user_localize , 24.0 , 218
undefined_on_paper , user_pos_method , 24.0 , 47
undefined_on_paper , virtual_printer , 16.0 , 203
undefined_on_paper , vof , 24.0 , 47
user_localize , user_pos_method , 48.0 , 203
user_localize , virtual_printer , 32.0 , 62
user_localize , vof , 48.0 , 218
user_pos_method , virtual_printer , 32.0 , 47
user_pos_method , vof , 48.0 , 219
virtual_printer , vof , 32.0 , 46
12370,91
