FAMA-model_20100308_1355834007.xml , 20 , 4800.0 , 78
Conference Context , _r_1 , 4775.0 , 140
Conference Context , _r_1_4_23 , 2400.0 , 47
Conference Context , _r_1_4_24 , 2400.0 , 172
Conference Context , _r_1_4_5 , 3200.0 , 31
Conference Context , _r_1_4_5_9_10 , 1600.0 , 140
Conference Context , _r_1_4_5_9_11 , 1600.0 , 47
Conference Context , _r_1_4_6 , 2400.0 , 125
Conference Context , _r_1_4_7 , 4200.0 , 47
Conference Context , _r_1_4_7_15_16 , 2400.0 , 125
Conference Context , _r_1_4_7_15_17 , 2400.0 , 46
Conference Context , _r_1_4_7_15_18 , 2400.0 , 141
Conference Context , _r_2 , 4608.0 , 31
Conference Context , _r_2_14 , 2304.0 , 140
Conference Context , _r_2_15 , 3840.0 , 47
Conference Context , _r_2_15_23_24 , 2304.0 , 125
Conference Context , _r_2_15_23_28 , 3072.0 , 47
Conference Context , _r_2_15_23_28_29_30 , 1536.0 , 140
Conference Context , _r_2_15_23_28_29_31 , 1536.0 , 31
Conference Context , _r_2_32 , 2304.0 , 141
_r_1 , _r_1_4_23 , 2400.0 , 31
_r_1 , _r_1_4_24 , 2400.0 , 140
_r_1 , _r_1_4_5 , 3200.0 , 47
_r_1 , _r_1_4_5_9_10 , 1600.0 , 141
_r_1 , _r_1_4_5_9_11 , 1600.0 , 31
_r_1 , _r_1_4_6 , 2400.0 , 140
_r_1 , _r_1_4_7 , 4200.0 , 31
_r_1 , _r_1_4_7_15_16 , 2400.0 , 141
_r_1 , _r_1_4_7_15_17 , 2400.0 , 31
_r_1 , _r_1_4_7_15_18 , 2400.0 , 140
_r_1 , _r_2 , 4584.0 , 47
_r_1 , _r_2_14 , 2292.0 , 125
_r_1 , _r_2_15 , 3820.0 , 47
_r_1 , _r_2_15_23_24 , 2292.0 , 125
_r_1 , _r_2_15_23_28 , 3056.0 , 46
_r_1 , _r_2_15_23_28_29_30 , 1528.0 , 141
_r_1 , _r_2_15_23_28_29_31 , 1528.0 , 47
_r_1 , _r_2_32 , 2292.0 , 124
_r_1_4_23 , _r_1_4_24 , 1200.0 , 47
_r_1_4_23 , _r_1_4_5 , 1600.0 , 141
_r_1_4_23 , _r_1_4_5_9_10 , 800.0 , 31
_r_1_4_23 , _r_1_4_5_9_11 , 800.0 , 156
_r_1_4_23 , _r_1_4_6 , 1200.0 , 31
_r_1_4_23 , _r_1_4_7 , 2100.0 , 125
_r_1_4_23 , _r_1_4_7_15_16 , 1200.0 , 47
_r_1_4_23 , _r_1_4_7_15_17 , 1200.0 , 124
_r_1_4_23 , _r_1_4_7_15_18 , 1200.0 , 47
_r_1_4_23 , _r_2 , 2304.0 , 141
_r_1_4_23 , _r_2_14 , 1152.0 , 31
_r_1_4_23 , _r_2_15 , 1920.0 , 140
_r_1_4_23 , _r_2_15_23_24 , 1152.0 , 31
_r_1_4_23 , _r_2_15_23_28 , 1536.0 , 141
_r_1_4_23 , _r_2_15_23_28_29_30 , 768.0 , 47
