FAMA-REAL-FM-5.xml , 20 , 132.0 , 94
GPL , _r_1 , 132.0 , 234
GPL , _r_10 , 66.0 , 47
GPL , _r_10_11_12 , 66.0 , 218
GPL , _r_10_11_13 , 0.0 , 62
GPL , _r_15 , 36.0 , 219
GPL , _r_15_16_17 , 24.0 , 78
GPL , _r_15_16_18 , 12.0 , 265
GPL , _r_19 , 132.0 , 78
GPL , _r_19_20_21 , 84.0 , 218
GPL , _r_19_20_22 , 84.0 , 63
GPL , _r_19_20_23 , 66.0 , 203
GPL , _r_19_20_24 , 72.0 , 62
GPL , _r_19_20_25 , 44.0 , 218
GPL , _r_19_20_26 , 44.0 , 47
GPL , _r_19_20_27 , 132.0 , 218
GPL , _r_1_2 , 132.0 , 63
GPL , _r_3 , 132.0 , 218
GPL , _r_3_4_5 , 132.0 , 62
GPL , _r_3_4_6 , 0.0 , 203
_r_1 , _r_10 , 66.0 , 63
_r_1 , _r_10_11_12 , 66.0 , 249
_r_1 , _r_10_11_13 , 0.0 , 63
_r_1 , _r_15 , 36.0 , 218
_r_1 , _r_15_16_17 , 24.0 , 47
_r_1 , _r_15_16_18 , 12.0 , 234
_r_1 , _r_19 , 132.0 , 47
_r_1 , _r_19_20_21 , 84.0 , 249
_r_1 , _r_19_20_22 , 84.0 , 47
_r_1 , _r_19_20_23 , 66.0 , 202
_r_1 , _r_19_20_24 , 72.0 , 63
_r_1 , _r_19_20_25 , 44.0 , 203
_r_1 , _r_19_20_26 , 44.0 , 62
_r_1 , _r_19_20_27 , 132.0 , 218
_r_1 , _r_1_2 , 132.0 , 63
_r_1 , _r_3 , 132.0 , 234
_r_1 , _r_3_4_5 , 132.0 , 78
_r_1 , _r_3_4_6 , 0.0 , 203
_r_10 , _r_10_11_12 , 66.0 , 62
_r_10 , _r_10_11_13 , 0.0 , 218
_r_10 , _r_15 , 18.0 , 63
_r_10 , _r_15_16_17 , 12.0 , 203
_r_10 , _r_15_16_18 , 6.0 , 62
_r_10 , _r_19 , 66.0 , 218
_r_10 , _r_19_20_21 , 42.0 , 47
_r_10 , _r_19_20_22 , 42.0 , 219
_r_10 , _r_19_20_23 , 33.0 , 62
_r_10 , _r_19_20_24 , 36.0 , 203
_r_10 , _r_19_20_25 , 22.0 , 62
_r_10 , _r_19_20_26 , 22.0 , 219
_r_10 , _r_19_20_27 , 66.0 , 62
_r_10 , _r_1_2 , 66.0 , 218
_r_10 , _r_3 , 66.0 , 47
_r_10 , _r_3_4_5 , 66.0 , 219
_r_10 , _r_3_4_6 , 0.0 , 62
_r_10_11_12 , _r_10_11_13 , 0.0 , 203
_r_10_11_12 , _r_15 , 18.0 , 62
_r_10_11_12 , _r_15_16_17 , 12.0 , 203
_r_10_11_12 , _r_15_16_18 , 6.0 , 62
_r_10_11_12 , _r_19 , 66.0 , 203
