FAMA-model_20100325_298677687.xml , 11 , 48.0 , 218
VODPlayer , _r_1 , 48.0 , 406
VODPlayer , _r_10 , 48.0 , 93
VODPlayer , _r_10_11 , 24.0 , 468
VODPlayer , _r_10_12 , 24.0 , 94
VODPlayer , _r_2 , 24.0 , 390
VODPlayer , _r_3_4 , 16.0 , 94
VODPlayer , _r_3_6 , 32.0 , 405
VODPlayer , _r_3_6_7 , 16.0 , 94
VODPlayer , _r_8 , 48.0 , 374
VODPlayer , _r_9 , 24.0 , 94
_r_1 , _r_10 , 48.0 , 422
_r_1 , _r_10_11 , 24.0 , 109
_r_1 , _r_10_12 , 24.0 , 374
_r_1 , _r_2 , 24.0 , 94
_r_1 , _r_3_4 , 16.0 , 437
_r_1 , _r_3_6 , 32.0 , 94
_r_1 , _r_3_6_7 , 16.0 , 374
_r_1 , _r_8 , 48.0 , 94
_r_1 , _r_9 , 24.0 , 452
_r_10 , _r_10_11 , 24.0 , 94
_r_10 , _r_10_12 , 24.0 , 405
_r_10 , _r_2 , 24.0 , 94
_r_10 , _r_3_4 , 16.0 , 406
_r_10 , _r_3_6 , 32.0 , 93
_r_10 , _r_3_6_7 , 16.0 , 375
_r_10 , _r_8 , 48.0 , 93
_r_10 , _r_9 , 24.0 , 390
_r_10_11 , _r_10_12 , 12.0 , 94
_r_10_11 , _r_2 , 12.0 , 374
_r_10_11 , _r_3_4 , 8.0 , 94
_r_10_11 , _r_3_6 , 16.0 , 374
_r_10_11 , _r_3_6_7 , 8.0 , 125
_r_10_11 , _r_8 , 24.0 , 390
_r_10_11 , _r_9 , 12.0 , 109
_r_10_12 , _r_2 , 12.0 , 375
_r_10_12 , _r_3_4 , 8.0 , 124
_r_10_12 , _r_3_6 , 16.0 , 359
_r_10_12 , _r_3_6_7 , 8.0 , 141
_r_10_12 , _r_8 , 24.0 , 358
_r_10_12 , _r_9 , 12.0 , 125
_r_2 , _r_3_4 , 8.0 , 375
_r_2 , _r_3_6 , 16.0 , 124
_r_2 , _r_3_6_7 , 8.0 , 375
_r_2 , _r_8 , 24.0 , 109
_r_2 , _r_9 , 12.0 , 359
_r_3_4 , _r_3_6 , 0.0 , 109
_r_3_4 , _r_3_6_7 , 0.0 , 374
_r_3_4 , _r_8 , 16.0 , 94
_r_3_4 , _r_9 , 8.0 , 374
_r_3_6 , _r_3_6_7 , 16.0 , 94
_r_3_6 , _r_8 , 32.0 , 374
_r_3_6 , _r_9 , 16.0 , 94
_r_3_6_7 , _r_8 , 16.0 , 390
_r_3_6_7 , _r_9 , 8.0 , 94
_r_8 , _r_9 , 24.0 , 405
13698,55
