FAMA-model_20100324_1996898492.xml , 11 , 8.0 , 78
VODPlayer , _r_1 , 8.0 , 281
VODPlayer , _r_2 , 8.0 , 63
VODPlayer , _r_2_10 , 4.0 , 296
VODPlayer , _r_2_9 , 4.0 , 62
VODPlayer , _r_3 , 8.0 , 266
VODPlayer , _r_3_8 , 8.0 , 78
VODPlayer , _r_4 , 8.0 , 327
VODPlayer , _r_5 , 8.0 , 63
VODPlayer , _r_6 , 4.0 , 280
VODPlayer , _r_7 , 8.0 , 78
_r_1 , _r_2 , 8.0 , 266
_r_1 , _r_2_10 , 4.0 , 78
_r_1 , _r_2_9 , 4.0 , 265
_r_1 , _r_3 , 8.0 , 78
_r_1 , _r_3_8 , 8.0 , 281
_r_1 , _r_4 , 8.0 , 78
_r_1 , _r_5 , 8.0 , 265
_r_1 , _r_6 , 4.0 , 78
_r_1 , _r_7 , 8.0 , 281
_r_2 , _r_2_10 , 4.0 , 93
_r_2 , _r_2_9 , 4.0 , 265
_r_2 , _r_3 , 8.0 , 78
_r_2 , _r_3_8 , 8.0 , 266
_r_2 , _r_4 , 8.0 , 78
_r_2 , _r_5 , 8.0 , 265
_r_2 , _r_6 , 4.0 , 93
_r_2 , _r_7 , 8.0 , 266
_r_2_10 , _r_2_9 , 2.0 , 62
_r_2_10 , _r_3 , 4.0 , 281
_r_2_10 , _r_3_8 , 4.0 , 62
_r_2_10 , _r_4 , 4.0 , 297
_r_2_10 , _r_5 , 4.0 , 62
_r_2_10 , _r_6 , 2.0 , 265
_r_2_10 , _r_7 , 4.0 , 78
_r_2_9 , _r_3 , 4.0 , 281
_r_2_9 , _r_3_8 , 4.0 , 62
_r_2_9 , _r_4 , 4.0 , 297
_r_2_9 , _r_5 , 4.0 , 78
_r_2_9 , _r_6 , 2.0 , 265
_r_2_9 , _r_7 , 4.0 , 62
_r_3 , _r_3_8 , 8.0 , 281
_r_3 , _r_4 , 8.0 , 78
_r_3 , _r_5 , 8.0 , 281
_r_3 , _r_6 , 4.0 , 62
_r_3 , _r_7 , 8.0 , 266
_r_3_8 , _r_4 , 8.0 , 78
_r_3_8 , _r_5 , 8.0 , 343
_r_3_8 , _r_6 , 4.0 , 78
_r_3_8 , _r_7 , 8.0 , 281
_r_4 , _r_5 , 8.0 , 62
_r_4 , _r_6 , 4.0 , 281
_r_4 , _r_7 , 8.0 , 78
_r_5 , _r_6 , 4.0 , 265
_r_5 , _r_7 , 8.0 , 78
_r_6 , _r_7 , 4.0 , 452
9984,55
