FAMA-REAL-FM-6.xml , 11 , 14.0 , 62
accu_cell , bluetooth , 4.0 , 172
accu_cell , cellphone , 14.0 , 46
accu_cell , color , 6.0 , 172
accu_cell , display , 14.0 , 47
accu_cell , infrared , 7.0 , 218
accu_cell , li_ion , 8.0 , 31
accu_cell , monochrome , 8.0 , 172
accu_cell , ni_ca , 2.0 , 47
accu_cell , ni_mh , 4.0 , 156
accu_cell , wireless , 9.0 , 47
bluetooth , cellphone , 4.0 , 171
bluetooth , color , 2.0 , 47
bluetooth , display , 4.0 , 156
bluetooth , infrared , 2.0 , 47
bluetooth , li_ion , 4.0 , 187
bluetooth , monochrome , 2.0 , 109
bluetooth , ni_ca , 0.0 , 156
bluetooth , ni_mh , 0.0 , 47
bluetooth , wireless , 4.0 , 172
cellphone , color , 6.0 , 62
cellphone , display , 14.0 , 156
cellphone , infrared , 7.0 , 47
cellphone , li_ion , 8.0 , 171
cellphone , monochrome , 8.0 , 47
cellphone , ni_ca , 2.0 , 156
cellphone , ni_mh , 4.0 , 47
cellphone , wireless , 9.0 , 172
color , display , 6.0 , 46
color , infrared , 3.0 , 172
color , li_ion , 4.0 , 47
color , monochrome , 0.0 , 156
color , ni_ca , 0.0 , 47
color , ni_mh , 2.0 , 171
color , wireless , 4.0 , 47
display , infrared , 7.0 , 156
display , li_ion , 8.0 , 47
display , monochrome , 8.0 , 171
display , ni_ca , 2.0 , 47
display , ni_mh , 4.0 , 156
display , wireless , 9.0 , 47
infrared , li_ion , 4.0 , 172
infrared , monochrome , 4.0 , 31
infrared , ni_ca , 1.0 , 171
infrared , ni_mh , 2.0 , 47
infrared , wireless , 7.0 , 156
li_ion , monochrome , 4.0 , 47
li_ion , ni_ca , 0.0 , 172
li_ion , ni_mh , 0.0 , 46
li_ion , wireless , 6.0 , 156
monochrome , ni_ca , 2.0 , 47
monochrome , ni_mh , 2.0 , 172
monochrome , wireless , 5.0 , 31
ni_ca , ni_mh , 0.0 , 172
ni_ca , wireless , 1.0 , 46
ni_mh , wireless , 2.0 , 172
6006,55
