FAMA-REAL-FM-9.xml , 14 , 68.0 , 31
calendar , congress_mngt , 8.0 , 140
calendar , core , 40.0 , 47
calendar , db , 20.0 , 140
calendar , forum , 20.0 , 31
calendar , gui , 40.0 , 172
calendar , james , 40.0 , 47
calendar , ldap , 20.0 , 125
calendar , modules , 40.0 , 31
calendar , pc , 32.0 , 140
calendar , pda , 16.0 , 31
calendar , repository , 16.0 , 141
calendar , user_mngt , 40.0 , 31
calendar , ws_interface , 20.0 , 140
congress_mngt , core , 16.0 , 47
congress_mngt , db , 8.0 , 125
congress_mngt , forum , 8.0 , 31
congress_mngt , gui , 16.0 , 140
congress_mngt , james , 16.0 , 31
congress_mngt , ldap , 8.0 , 141
congress_mngt , modules , 16.0 , 47
congress_mngt , pc , 16.0 , 124
congress_mngt , pda , 0.0 , 47
congress_mngt , repository , 16.0 , 141
congress_mngt , user_mngt , 16.0 , 46
congress_mngt , ws_interface , 8.0 , 125
core , db , 34.0 , 47
core , forum , 40.0 , 125
core , gui , 68.0 , 47
core , james , 68.0 , 124
core , ldap , 34.0 , 47
core , modules , 68.0 , 125
core , pc , 56.0 , 47
core , pda , 24.0 , 125
core , repository , 32.0 , 46
core , user_mngt , 68.0 , 141
core , ws_interface , 34.0 , 31
db , forum , 20.0 , 140
db , gui , 34.0 , 32
db , james , 34.0 , 140
db , ldap , 0.0 , 31
db , modules , 34.0 , 141
db , pc , 28.0 , 31
db , pda , 12.0 , 140
db , repository , 16.0 , 31
db , user_mngt , 34.0 , 141
db , ws_interface , 17.0 , 47
forum , gui , 40.0 , 140
forum , james , 40.0 , 31
forum , ldap , 20.0 , 141
forum , modules , 40.0 , 31
forum , pc , 32.0 , 140
forum , pda , 16.0 , 47
forum , repository , 16.0 , 125
forum , user_mngt , 40.0 , 47
forum , ws_interface , 20.0 , 124
gui , james , 68.0 , 32
gui , ldap , 34.0 , 140
gui , modules , 68.0 , 47
gui , pc , 56.0 , 140
gui , pda , 24.0 , 31
gui , repository , 32.0 , 125
gui , user_mngt , 68.0 , 47
gui , ws_interface , 34.0 , 140
james , ldap , 34.0 , 32
james , modules , 68.0 , 109
james , pc , 56.0 , 31
james , pda , 24.0 , 109
james , repository , 32.0 , 47
james , user_mngt , 68.0 , 109
james , ws_interface , 34.0 , 31
ldap , modules , 34.0 , 110
ldap , pc , 28.0 , 31
ldap , pda , 12.0 , 125
ldap , repository , 16.0 , 15
ldap , user_mngt , 34.0 , 125
ldap , ws_interface , 17.0 , 31
modules , pc , 56.0 , 109
modules , pda , 24.0 , 32
modules , repository , 32.0 , 109
modules , user_mngt , 68.0 , 31
modules , ws_interface , 34.0 , 125
pc , pda , 12.0 , 31
pc , repository , 32.0 , 109
pc , user_mngt , 56.0 , 31
pc , ws_interface , 28.0 , 110
pda , repository , 0.0 , 31
pda , user_mngt , 24.0 , 140
pda , ws_interface , 12.0 , 31
repository , user_mngt , 32.0 , 110
repository , ws_interface , 16.0 , 31
user_mngt , ws_interface , 34.0 , 125
7628,91
