FAMA-REAL-FM-12.xml , 14 , 126.0 , 280
_id_1 , _id_10 , 56.0 , 63
_id_1 , _id_11 , 56.0 , 218
_id_1 , _id_2 , 126.0 , 63
_id_1 , _id_3 , 90.0 , 218
_id_1 , _id_5 , 36.0 , 62
_id_1 , _id_6 , 36.0 , 203
_id_1 , _id_7 , 63.0 , 78
_id_1 , _id_9 , 56.0 , 203
_id_1 , page_preview , 54.0 , 62
_id_1 , page_translation , 112.0 , 219
_id_1 , search_by_language , 98.0 , 62
_id_1 , search_engine_PL , 126.0 , 203
_id_1 , svg , 18.0 , 62
_id_10 , _id_11 , 28.0 , 203
_id_10 , _id_2 , 56.0 , 47
_id_10 , _id_3 , 40.0 , 218
_id_10 , _id_5 , 16.0 , 62
_id_10 , _id_6 , 16.0 , 219
_id_10 , _id_7 , 28.0 , 47
_id_10 , _id_9 , 28.0 , 218
_id_10 , page_preview , 24.0 , 47
_id_10 , page_translation , 56.0 , 218
_id_10 , search_by_language , 56.0 , 63
_id_10 , search_engine_PL , 56.0 , 202
_id_10 , svg , 8.0 , 63
_id_11 , _id_2 , 56.0 , 203
_id_11 , _id_3 , 40.0 , 62
_id_11 , _id_5 , 16.0 , 203
_id_11 , _id_6 , 16.0 , 62
_id_11 , _id_7 , 28.0 , 203
_id_11 , _id_9 , 28.0 , 47
_id_11 , page_preview , 24.0 , 218
_id_11 , page_translation , 56.0 , 47
_id_11 , search_by_language , 56.0 , 203
_id_11 , search_engine_PL , 56.0 , 62
_id_11 , svg , 8.0 , 203
_id_2 , _id_3 , 90.0 , 47
_id_2 , _id_5 , 36.0 , 218
_id_2 , _id_6 , 36.0 , 47
_id_2 , _id_7 , 63.0 , 203
_id_2 , _id_9 , 56.0 , 62
_id_2 , page_preview , 54.0 , 203
_id_2 , page_translation , 112.0 , 47
_id_2 , search_by_language , 98.0 , 203
_id_2 , search_engine_PL , 126.0 , 62
_id_2 , svg , 18.0 , 203
_id_3 , _id_5 , 36.0 , 62
_id_3 , _id_6 , 36.0 , 203
_id_3 , _id_7 , 45.0 , 47
_id_3 , _id_9 , 40.0 , 203
_id_3 , page_preview , 36.0 , 62
_id_3 , page_translation , 80.0 , 203
_id_3 , search_by_language , 70.0 , 62
_id_3 , search_engine_PL , 90.0 , 203
_id_3 , svg , 18.0 , 47
_id_5 , _id_6 , 0.0 , 203
_id_5 , _id_7 , 18.0 , 62
_id_5 , _id_9 , 16.0 , 203
_id_5 , page_preview , 18.0 , 47
_id_5 , page_translation , 32.0 , 218
_id_5 , search_by_language , 28.0 , 47
_id_5 , search_engine_PL , 36.0 , 203
_id_5 , svg , 0.0 , 62
_id_6 , _id_7 , 18.0 , 203
_id_6 , _id_9 , 16.0 , 47
_id_6 , page_preview , 18.0 , 218
_id_6 , page_translation , 32.0 , 47
_id_6 , search_by_language , 28.0 , 203
_id_6 , search_engine_PL , 36.0 , 62
_id_6 , svg , 0.0 , 203
_id_7 , _id_9 , 28.0 , 62
_id_7 , page_preview , 27.0 , 203
_id_7 , page_translation , 56.0 , 47
_id_7 , search_by_language , 49.0 , 203
_id_7 , search_engine_PL , 63.0 , 62
_id_7 , svg , 9.0 , 203
_id_9 , page_preview , 24.0 , 62
_id_9 , page_translation , 56.0 , 203
_id_9 , search_by_language , 56.0 , 47
_id_9 , search_engine_PL , 56.0 , 203
_id_9 , svg , 8.0 , 62
page_preview , page_translation , 48.0 , 203
page_preview , search_by_language , 42.0 , 47
page_preview , search_engine_PL , 54.0 , 218
page_preview , svg , 0.0 , 47
page_translation , search_by_language , 98.0 , 218
page_translation , search_engine_PL , 112.0 , 47
page_translation , svg , 16.0 , 203
search_by_language , search_engine_PL , 98.0 , 62
search_by_language , svg , 14.0 , 203
search_engine_PL , svg , 18.0 , 47
11903,91
