FAMA-model_20100730_1366577700.xml , 32 , 3.3554432E7 , 94
Forca_Resultante_LO , _r_1 , 3.3554432E7 , 218
Forca_Resultante_LO , _r_1_14 , 1.6777216E7 , 63
Forca_Resultante_LO , _r_1_15 , 1.6777216E7 , 296
Forca_Resultante_LO , _r_1_16 , 1.6777216E7 , 62
Forca_Resultante_LO , _r_2 , 3.3554432E7 , 234
Forca_Resultante_LO , _r_2_18 , 1.6777216E7 , 63
Forca_Resultante_LO , _r_2_19 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_2_20 , 1.6777216E7 , 62
Forca_Resultante_LO , _r_2_22 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_2_23 , 1.6777216E7 , 62
Forca_Resultante_LO , _r_2_24 , 1.6777216E7 , 219
Forca_Resultante_LO , _r_3 , 3.3554432E7 , 46
Forca_Resultante_LO , _r_39 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_3_21 , 1.6777216E7 , 62
Forca_Resultante_LO , _r_3_25 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_3_26 , 1.6777216E7 , 62
Forca_Resultante_LO , _r_3_27 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_4 , 3.3554432E7 , 47
Forca_Resultante_LO , _r_4_28 , 1.6777216E7 , 218
Forca_Resultante_LO , _r_4_29 , 1.6777216E7 , 47
Forca_Resultante_LO , _r_5 , 3.3554432E7 , 219
Forca_Resultante_LO , _r_5_30 , 1.6777216E7 , 46
Forca_Resultante_LO , _r_5_31 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_5_32 , 1.6777216E7 , 63
Forca_Resultante_LO , _r_6 , 3.3554432E7 , 202
Forca_Resultante_LO , _r_6_33 , 1.6777216E7 , 47
Forca_Resultante_LO , _r_6_34 , 1.6777216E7 , 219
Forca_Resultante_LO , _r_6_35 , 1.6777216E7 , 46
Forca_Resultante_LO , _r_6_36 , 1.6777216E7 , 203
Forca_Resultante_LO , _r_6_37 , 1.6777216E7 , 63
Forca_Resultante_LO , _r_6_38 , 1.6777216E7 , 202
_r_1 , _r_1_14 , 1.6777216E7 , 47
_r_1 , _r_1_15 , 1.6777216E7 , 203
_r_1 , _r_1_16 , 1.6777216E7 , 62
_r_1 , _r_2 , 3.3554432E7 , 203
_r_1 , _r_2_18 , 1.6777216E7 , 63
_r_1 , _r_2_19 , 1.6777216E7 , 202
_r_1 , _r_2_20 , 1.6777216E7 , 47
_r_1 , _r_2_22 , 1.6777216E7 , 203
_r_1 , _r_2_23 , 1.6777216E7 , 62
_r_1 , _r_2_24 , 1.6777216E7 , 203
_r_1 , _r_3 , 3.3554432E7 , 63
_r_1 , _r_39 , 1.6777216E7 , 202
_r_1 , _r_3_21 , 1.6777216E7 , 47
_r_1 , _r_3_25 , 1.6777216E7 , 219
_r_1 , _r_3_26 , 1.6777216E7 , 46
_r_1 , _r_3_27 , 1.6777216E7 , 203
_r_1 , _r_4 , 3.3554432E7 , 63
_r_1 , _r_4_28 , 1.6777216E7 , 202
_r_1 , _r_4_29 , 1.6777216E7 , 63
_r_1 , _r_5 , 3.3554432E7 , 203
_r_1 , _r_5_30 , 1.6777216E7 , 46
_r_1 , _r_5_31 , 1.6777216E7 , 203
_r_1 , _r_5_32 , 1.6777216E7 , 47
_r_1 , _r_6 , 3.3554432E7 , 203
_r_1 , _r_6_33 , 1.6777216E7 , 62
_r_1 , _r_6_34 , 1.6777216E7 , 203
_r_1 , _r_6_35 , 1.6777216E7 , 62
_r_1 , _r_6_36 , 1.6777216E7 , 203
_r_1 , _r_6_37 , 1.6777216E7 , 47
_r_1 , _r_6_38 , 1.6777216E7 , 218
_r_1_14 , _r_1_15 , 8388608.0 , 63
_r_1_14 , _r_1_16 , 8388608.0 , 203
_r_1_14 , _r_2 , 1.6777216E7 , 62
_r_1_14 , _r_2_18 , 8388608.0 , 218
_r_1_14 , _r_2_19 , 8388608.0 , 47
_r_1_14 , _r_2_20 , 8388608.0 , 203
_r_1_14 , _r_2_22 , 8388608.0 , 62
_r_1_14 , _r_2_23 , 8388608.0 , 203
_r_1_14 , _r_2_24 , 8388608.0 , 63
_r_1_14 , _r_3 , 1.6777216E7 , 202
_r_1_14 , _r_39 , 8388608.0 , 63
_r_1_14 , _r_3_21 , 8388608.0 , 203
_r_1_14 , _r_3_25 , 8388608.0 , 62
_r_1_14 , _r_3_26 , 8388608.0 , 203
_r_1_14 , _r_3_27 , 8388608.0 , 62
_r_1_14 , _r_4 , 1.6777216E7 , 203
_r_1_14 , _r_4_28 , 8388608.0 , 62
_r_1_14 , _r_4_29 , 8388608.0 , 203
_r_1_14 , _r_5 , 1.6777216E7 , 63
_r_1_14 , _r_5_30 , 8388608.0 , 218
_r_1_14 , _r_5_31 , 8388608.0 , 47
_r_1_14 , _r_5_32 , 8388608.0 , 203
_r_1_14 , _r_6 , 1.6777216E7 , 63
_r_1_14 , _r_6_33 , 8388608.0 , 202
_r_1_14 , _r_6_34 , 8388608.0 , 63
_r_1_14 , _r_6_35 , 8388608.0 , 203
_r_1_14 , _r_6_36 , 8388608.0 , 78
_r_1_14 , _r_6_37 , 8388608.0 , 218
_r_1_14 , _r_6_38 , 8388608.0 , 47
_r_1_15 , _r_1_16 , 8388608.0 , 203
_r_1_15 , _r_2 , 1.6777216E7 , 62
