FAMA-model_20100416_811483774.xml , 16 , 28.0 , 124
Software , _r_1_2 , 27.0 , 483
Software , _r_1_2_4_5 , 1.0 , 125
Software , _r_1_2_4_6 , 26.0 , 484
Software , _r_1_2_4_6_7_10 , 24.0 , 156
Software , _r_1_2_4_6_7_10_11_12 , 12.0 , 390
Software , _r_1_2_4_6_7_10_11_13 , 12.0 , 109
Software , _r_1_2_4_6_7_10_14_15 , 12.0 , 374
Software , _r_1_2_4_6_7_10_14_16 , 12.0 , 125
Software , _r_1_2_4_6_7_10_17_18 , 12.0 , 374
Software , _r_1_2_4_6_7_10_17_19 , 12.0 , 110
Software , _r_1_2_4_6_7_10_20_21 , 16.0 , 374
Software , _r_1_2_4_6_7_10_20_22 , 16.0 , 94
Software , _r_1_2_4_6_7_8 , 1.0 , 421
Software , _r_1_2_4_6_7_9 , 1.0 , 93
Software , _r_1_3 , 1.0 , 375
_r_1_2 , _r_1_2_4_5 , 1.0 , 94
_r_1_2 , _r_1_2_4_6 , 26.0 , 421
_r_1_2 , _r_1_2_4_6_7_10 , 24.0 , 109
_r_1_2 , _r_1_2_4_6_7_10_11_12 , 12.0 , 375
_r_1_2 , _r_1_2_4_6_7_10_11_13 , 12.0 , 109
_r_1_2 , _r_1_2_4_6_7_10_14_15 , 12.0 , 390
_r_1_2 , _r_1_2_4_6_7_10_14_16 , 12.0 , 140
_r_1_2 , _r_1_2_4_6_7_10_17_18 , 12.0 , 375
_r_1_2 , _r_1_2_4_6_7_10_17_19 , 12.0 , 109
_r_1_2 , _r_1_2_4_6_7_10_20_21 , 16.0 , 374
_r_1_2 , _r_1_2_4_6_7_10_20_22 , 16.0 , 125
_r_1_2 , _r_1_2_4_6_7_8 , 1.0 , 375
_r_1_2 , _r_1_2_4_6_7_9 , 1.0 , 93
_r_1_2 , _r_1_3 , 0.0 , 390
_r_1_2_4_5 , _r_1_2_4_6 , 0.0 , 125
_r_1_2_4_5 , _r_1_2_4_6_7_10 , 0.0 , 359
_r_1_2_4_5 , _r_1_2_4_6_7_10_11_12 , 0.0 , 109
_r_1_2_4_5 , _r_1_2_4_6_7_10_11_13 , 0.0 , 374
_r_1_2_4_5 , _r_1_2_4_6_7_10_14_15 , 0.0 , 110
_r_1_2_4_5 , _r_1_2_4_6_7_10_14_16 , 0.0 , 374
_r_1_2_4_5 , _r_1_2_4_6_7_10_17_18 , 0.0 , 109
_r_1_2_4_5 , _r_1_2_4_6_7_10_17_19 , 0.0 , 390
_r_1_2_4_5 , _r_1_2_4_6_7_10_20_21 , 0.0 , 94
_r_1_2_4_5 , _r_1_2_4_6_7_10_20_22 , 0.0 , 405
_r_1_2_4_5 , _r_1_2_4_6_7_8 , 0.0 , 94
_r_1_2_4_5 , _r_1_2_4_6_7_9 , 0.0 , 437
_r_1_2_4_5 , _r_1_3 , 0.0 , 93
_r_1_2_4_6 , _r_1_2_4_6_7_10 , 24.0 , 390
_r_1_2_4_6 , _r_1_2_4_6_7_10_11_12 , 12.0 , 110
_r_1_2_4_6 , _r_1_2_4_6_7_10_11_13 , 12.0 , 405
_r_1_2_4_6 , _r_1_2_4_6_7_10_14_15 , 12.0 , 94
_r_1_2_4_6 , _r_1_2_4_6_7_10_14_16 , 12.0 , 374
_r_1_2_4_6 , _r_1_2_4_6_7_10_17_18 , 12.0 , 93
_r_1_2_4_6 , _r_1_2_4_6_7_10_17_19 , 12.0 , 390
_r_1_2_4_6 , _r_1_2_4_6_7_10_20_21 , 16.0 , 94
_r_1_2_4_6 , _r_1_2_4_6_7_10_20_22 , 16.0 , 374
_r_1_2_4_6 , _r_1_2_4_6_7_8 , 1.0 , 125
_r_1_2_4_6 , _r_1_2_4_6_7_9 , 1.0 , 390
_r_1_2_4_6 , _r_1_3 , 0.0 , 94
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_11_12 , 12.0 , 374
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_11_13 , 12.0 , 94
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_14_15 , 12.0 , 405
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_14_16 , 12.0 , 94
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_17_18 , 12.0 , 374
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_17_19 , 12.0 , 94
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_20_21 , 16.0 , 437
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_10_20_22 , 16.0 , 93
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_8 , 0.0 , 359
_r_1_2_4_6_7_10 , _r_1_2_4_6_7_9 , 0.0 , 94
_r_1_2_4_6_7_10 , _r_1_3 , 0.0 , 421
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_11_13 , 0.0 , 125
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_14_15 , 6.0 , 374
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_14_16 , 6.0 , 94
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_17_18 , 6.0 , 405
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_17_19 , 6.0 , 125
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_20_21 , 8.0 , 359
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_10_20_22 , 8.0 , 109
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_8 , 0.0 , 375
_r_1_2_4_6_7_10_11_12 , _r_1_2_4_6_7_9 , 0.0 , 156
_r_1_2_4_6_7_10_11_12 , _r_1_3 , 0.0 , 358
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_10_14_15 , 6.0 , 94
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_10_14_16 , 6.0 , 390
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_10_17_18 , 6.0 , 125
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_10_17_19 , 6.0 , 390
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_10_20_21 , 8.0 , 93
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_10_20_22 , 8.0 , 375
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_8 , 0.0 , 125
_r_1_2_4_6_7_10_11_13 , _r_1_2_4_6_7_9 , 0.0 , 358
_r_1_2_4_6_7_10_11_13 , _r_1_3 , 0.0 , 109
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_10_14_16 , 0.0 , 390
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_10_17_18 , 6.0 , 125
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_10_17_19 , 6.0 , 374
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_10_20_21 , 8.0 , 125
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_10_20_22 , 8.0 , 375
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_8 , 0.0 , 124
_r_1_2_4_6_7_10_14_15 , _r_1_2_4_6_7_9 , 0.0 , 375
_r_1_2_4_6_7_10_14_15 , _r_1_3 , 0.0 , 93
_r_1_2_4_6_7_10_14_16 , _r_1_2_4_6_7_10_17_18 , 6.0 , 375
_r_1_2_4_6_7_10_14_16 , _r_1_2_4_6_7_10_17_19 , 6.0 , 93
_r_1_2_4_6_7_10_14_16 , _r_1_2_4_6_7_10_20_21 , 8.0 , 437
_r_1_2_4_6_7_10_14_16 , _r_1_2_4_6_7_10_20_22 , 8.0 , 94
_r_1_2_4_6_7_10_14_16 , _r_1_2_4_6_7_8 , 0.0 , 374
_r_1_2_4_6_7_10_14_16 , _r_1_2_4_6_7_9 , 0.0 , 109
_r_1_2_4_6_7_10_14_16 , _r_1_3 , 0.0 , 406
_r_1_2_4_6_7_10_17_18 , _r_1_2_4_6_7_10_17_19 , 0.0 , 94
_r_1_2_4_6_7_10_17_18 , _r_1_2_4_6_7_10_20_21 , 8.0 , 405
_r_1_2_4_6_7_10_17_18 , _r_1_2_4_6_7_10_20_22 , 8.0 , 125
_r_1_2_4_6_7_10_17_18 , _r_1_2_4_6_7_8 , 0.0 , 421
_r_1_2_4_6_7_10_17_18 , _r_1_2_4_6_7_9 , 0.0 , 94
_r_1_2_4_6_7_10_17_18 , _r_1_3 , 0.0 , 374
_r_1_2_4_6_7_10_17_19 , _r_1_2_4_6_7_10_20_21 , 8.0 , 125
_r_1_2_4_6_7_10_17_19 , _r_1_2_4_6_7_10_20_22 , 8.0 , 390
_r_1_2_4_6_7_10_17_19 , _r_1_2_4_6_7_8 , 0.0 , 94
_r_1_2_4_6_7_10_17_19 , _r_1_2_4_6_7_9 , 0.0 , 390
_r_1_2_4_6_7_10_17_19 , _r_1_3 , 0.0 , 93
_r_1_2_4_6_7_10_20_21 , _r_1_2_4_6_7_10_20_22 , 8.0 , 375
_r_1_2_4_6_7_10_20_21 , _r_1_2_4_6_7_8 , 0.0 , 93
_r_1_2_4_6_7_10_20_21 , _r_1_2_4_6_7_9 , 0.0 , 390
_r_1_2_4_6_7_10_20_21 , _r_1_3 , 0.0 , 94
_r_1_2_4_6_7_10_20_22 , _r_1_2_4_6_7_8 , 0.0 , 421
_r_1_2_4_6_7_10_20_22 , _r_1_2_4_6_7_9 , 0.0 , 94
_r_1_2_4_6_7_10_20_22 , _r_1_3 , 0.0 , 374
_r_1_2_4_6_7_8 , _r_1_2_4_6_7_9 , 0.0 , 109
_r_1_2_4_6_7_8 , _r_1_3 , 0.0 , 390
_r_1_2_4_6_7_9 , _r_1_3 , 0.0 , 109
29873,120
