FAMA-model_20100308_1032655961.xml , 15 , 61.0 , 188
Cell phone , _r_1 , 61.0 , 46
Cell phone , _r_10 , 61.0 , 141
Cell phone , _r_10_11_12 , 25.0 , 47
Cell phone , _r_10_11_15 , 56.0 , 140
Cell phone , _r_10_11_15_16_17 , 28.0 , 47
Cell phone , _r_10_11_15_16_18 , 28.0 , 125
Cell phone , _r_1_2 , 61.0 , 46
Cell phone , _r_1_2_4 , 61.0 , 125
Cell phone , _r_1_2_5 , 28.0 , 47
Cell phone , _r_1_3 , 61.0 , 140
Cell phone , _r_6 , 52.0 , 32
Cell phone , _r_6_7 , 26.0 , 140
Cell phone , _r_6_8 , 16.0 , 31
Cell phone , _r_6_9 , 26.0 , 141
_r_1 , _r_10 , 61.0 , 46
_r_1 , _r_10_11_12 , 25.0 , 125
_r_1 , _r_10_11_15 , 56.0 , 47
_r_1 , _r_10_11_15_16_17 , 28.0 , 125
_r_1 , _r_10_11_15_16_18 , 28.0 , 47
_r_1 , _r_1_2 , 61.0 , 140
_r_1 , _r_1_2_4 , 61.0 , 31
_r_1 , _r_1_2_5 , 28.0 , 141
_r_1 , _r_1_3 , 61.0 , 31
_r_1 , _r_6 , 52.0 , 140
_r_1 , _r_6_7 , 26.0 , 47
_r_1 , _r_6_8 , 16.0 , 125
_r_1 , _r_6_9 , 26.0 , 47
_r_10 , _r_10_11_12 , 25.0 , 124
_r_10 , _r_10_11_15 , 56.0 , 31
_r_10 , _r_10_11_15_16_17 , 28.0 , 141
_r_10 , _r_10_11_15_16_18 , 28.0 , 31
_r_10 , _r_1_2 , 61.0 , 140
_r_10 , _r_1_2_4 , 61.0 , 31
_r_10 , _r_1_2_5 , 28.0 , 125
_r_10 , _r_1_3 , 61.0 , 47
_r_10 , _r_6 , 52.0 , 124
_r_10 , _r_6_7 , 26.0 , 47
_r_10 , _r_6_8 , 16.0 , 141
_r_10 , _r_6_9 , 26.0 , 31
_r_10_11_12 , _r_10_11_15 , 20.0 , 140
_r_10_11_12 , _r_10_11_15_16_17 , 10.0 , 31
_r_10_11_12 , _r_10_11_15_16_18 , 10.0 , 141
_r_10_11_12 , _r_1_2 , 25.0 , 31
_r_10_11_12 , _r_1_2_4 , 25.0 , 140
_r_10_11_12 , _r_1_2_5 , 10.0 , 32
_r_10_11_12 , _r_1_3 , 25.0 , 125
_r_10_11_12 , _r_6 , 20.0 , 47
_r_10_11_12 , _r_6_7 , 10.0 , 125
_r_10_11_12 , _r_6_8 , 0.0 , 46
_r_10_11_12 , _r_6_9 , 10.0 , 125
_r_10_11_15 , _r_10_11_15_16_17 , 28.0 , 47
_r_10_11_15 , _r_10_11_15_16_18 , 28.0 , 125
_r_10_11_15 , _r_1_2 , 56.0 , 47
_r_10_11_15 , _r_1_2_4 , 56.0 , 124
_r_10_11_15 , _r_1_2_5 , 28.0 , 47
_r_10_11_15 , _r_1_3 , 56.0 , 141
_r_10_11_15 , _r_6 , 48.0 , 31
_r_10_11_15 , _r_6_7 , 24.0 , 140
_r_10_11_15 , _r_6_8 , 16.0 , 31
_r_10_11_15 , _r_6_9 , 24.0 , 141
_r_10_11_15_16_17 , _r_10_11_15_16_18 , 0.0 , 31
_r_10_11_15_16_17 , _r_1_2 , 28.0 , 140
_r_10_11_15_16_17 , _r_1_2_4 , 28.0 , 32
_r_10_11_15_16_17 , _r_1_2_5 , 14.0 , 140
_r_10_11_15_16_17 , _r_1_3 , 28.0 , 31
_r_10_11_15_16_17 , _r_6 , 24.0 , 141
_r_10_11_15_16_17 , _r_6_7 , 12.0 , 31
_r_10_11_15_16_17 , _r_6_8 , 8.0 , 156
_r_10_11_15_16_17 , _r_6_9 , 12.0 , 31
_r_10_11_15_16_18 , _r_1_2 , 28.0 , 140
_r_10_11_15_16_18 , _r_1_2_4 , 28.0 , 32
_r_10_11_15_16_18 , _r_1_2_5 , 14.0 , 140
_r_10_11_15_16_18 , _r_1_3 , 28.0 , 31
_r_10_11_15_16_18 , _r_6 , 24.0 , 141
_r_10_11_15_16_18 , _r_6_7 , 12.0 , 31
_r_10_11_15_16_18 , _r_6_8 , 8.0 , 140
_r_10_11_15_16_18 , _r_6_9 , 12.0 , 47
_r_1_2 , _r_1_2_4 , 61.0 , 125
