FAMA-model_20100805_1484639410.xml , 31 , 3712.0 , 93
GreenHouse , _r_1 , 3712.0 , 234
GreenHouse , _r_1_10 , 3712.0 , 63
GreenHouse , _r_1_10_12 , 3712.0 , 202
GreenHouse , _r_1_10_13 , 3712.0 , 63
GreenHouse , _r_1_10_14 , 1856.0 , 218
GreenHouse , _r_1_22 , 3712.0 , 47
GreenHouse , _r_1_22_23 , 1152.0 , 265
GreenHouse , _r_1_22_25 , 1152.0 , 47
GreenHouse , _r_1_22_26 , 1152.0 , 203
GreenHouse , _r_1_27 , 3712.0 , 47
GreenHouse , _r_1_27_28 , 128.0 , 203
GreenHouse , _r_1_27_29 , 3456.0 , 62
GreenHouse , _r_1_27_29_30 , 2304.0 , 219
GreenHouse , _r_1_27_29_31 , 2304.0 , 47
GreenHouse , _r_1_27_29_32 , 2304.0 , 218
GreenHouse , _r_1_3 , 3712.0 , 62
GreenHouse , _r_1_3_4 , 1856.0 , 203
GreenHouse , _r_1_3_5 , 1856.0 , 63
GreenHouse , _r_1_7 , 3712.0 , 202
GreenHouse , _r_1_8 , 3712.0 , 63
GreenHouse , _r_1_9 , 3712.0 , 203
GreenHouse , _r_2 , 3712.0 , 62
GreenHouse , _r_2_33 , 3712.0 , 203
GreenHouse , _r_2_34 , 3712.0 , 62
GreenHouse , _r_2_34_35 , 1856.0 , 203
GreenHouse , _r_2_34_36 , 1856.0 , 47
GreenHouse , _r_2_34_37 , 1856.0 , 203
GreenHouse , _r_2_38 , 3712.0 , 47
GreenHouse , _r_2_38_41 , 3712.0 , 203
GreenHouse , _r_2_38_42 , 1856.0 , 62
_r_1 , _r_1_10 , 3712.0 , 203
_r_1 , _r_1_10_12 , 3712.0 , 62
_r_1 , _r_1_10_13 , 3712.0 , 203
_r_1 , _r_1_10_14 , 1856.0 , 47
_r_1 , _r_1_22 , 3712.0 , 203
_r_1 , _r_1_22_23 , 1152.0 , 62
_r_1 , _r_1_22_25 , 1152.0 , 203
_r_1 , _r_1_22_26 , 1152.0 , 62
_r_1 , _r_1_27 , 3712.0 , 203
_r_1 , _r_1_27_28 , 128.0 , 63
_r_1 , _r_1_27_29 , 3456.0 , 202
_r_1 , _r_1_27_29_30 , 2304.0 , 63
_r_1 , _r_1_27_29_31 , 2304.0 , 218
_r_1 , _r_1_27_29_32 , 2304.0 , 63
_r_1 , _r_1_3 , 3712.0 , 202
_r_1 , _r_1_3_4 , 1856.0 , 63
_r_1 , _r_1_3_5 , 1856.0 , 203
_r_1 , _r_1_7 , 3712.0 , 62
_r_1 , _r_1_8 , 3712.0 , 203
_r_1 , _r_1_9 , 3712.0 , 62
_r_1 , _r_2 , 3712.0 , 219
_r_1 , _r_2_33 , 3712.0 , 46
_r_1 , _r_2_34 , 3712.0 , 219
_r_1 , _r_2_34_35 , 1856.0 , 62
_r_1 , _r_2_34_36 , 1856.0 , 203
_r_1 , _r_2_34_37 , 1856.0 , 62
_r_1 , _r_2_38 , 3712.0 , 234
_r_1 , _r_2_38_41 , 3712.0 , 63
_r_1 , _r_2_38_42 , 1856.0 , 203
_r_1_10 , _r_1_10_12 , 3712.0 , 62
_r_1_10 , _r_1_10_13 , 3712.0 , 218
_r_1_10 , _r_1_10_14 , 1856.0 , 47
_r_1_10 , _r_1_22 , 3712.0 , 219
_r_1_10 , _r_1_22_23 , 1152.0 , 46
_r_1_10 , _r_1_22_25 , 1152.0 , 219
_r_1_10 , _r_1_22_26 , 1152.0 , 62
_r_1_10 , _r_1_27 , 3712.0 , 203
_r_1_10 , _r_1_27_28 , 128.0 , 62
_r_1_10 , _r_1_27_29 , 3456.0 , 203
_r_1_10 , _r_1_27_29_30 , 2304.0 , 63
_r_1_10 , _r_1_27_29_31 , 2304.0 , 202
_r_1_10 , _r_1_27_29_32 , 2304.0 , 63
_r_1_10 , _r_1_3 , 3712.0 , 218
_r_1_10 , _r_1_3_4 , 1856.0 , 47
_r_1_10 , _r_1_3_5 , 1856.0 , 218
_r_1_10 , _r_1_7 , 3712.0 , 47
_r_1_10 , _r_1_8 , 3712.0 , 219
_r_1_10 , _r_1_9 , 3712.0 , 46
_r_1_10 , _r_2 , 3712.0 , 219
_r_1_10 , _r_2_33 , 3712.0 , 47
_r_1_10 , _r_2_34 , 3712.0 , 218
_r_1_10 , _r_2_34_35 , 1856.0 , 47
_r_1_10 , _r_2_34_36 , 1856.0 , 218
_r_1_10 , _r_2_34_37 , 1856.0 , 47
_r_1_10 , _r_2_38 , 3712.0 , 218
_r_1_10 , _r_2_38_41 , 3712.0 , 47
_r_1_10 , _r_2_38_42 , 1856.0 , 203
_r_1_10_12 , _r_1_10_13 , 3712.0 , 78
_r_1_10_12 , _r_1_10_14 , 1856.0 , 218
_r_1_10_12 , _r_1_22 , 3712.0 , 47
_r_1_10_12 , _r_1_22_23 , 1152.0 , 219
_r_1_10_12 , _r_1_22_25 , 1152.0 , 46
_r_1_10_12 , _r_1_22_26 , 1152.0 , 203
_r_1_10_12 , _r_1_27 , 3712.0 , 63
_r_1_10_12 , _r_1_27_28 , 128.0 , 234
_r_1_10_12 , _r_1_27_29 , 3456.0 , 46
_r_1_10_12 , _r_1_27_29_30 , 2304.0 , 219
_r_1_10_12 , _r_1_27_29_31 , 2304.0 , 78
_r_1_10_12 , _r_1_27_29_32 , 2304.0 , 203
_r_1_10_12 , _r_1_3 , 3712.0 , 46
_r_1_10_12 , _r_1_3_4 , 1856.0 , 250
_r_1_10_12 , _r_1_3_5 , 1856.0 , 47
_r_1_10_12 , _r_1_7 , 3712.0 , 218
_r_1_10_12 , _r_1_8 , 3712.0 , 63
_r_1_10_12 , _r_1_9 , 3712.0 , 202
_r_1_10_12 , _r_2 , 3712.0 , 63
_r_1_10_12 , _r_2_33 , 3712.0 , 218
_r_1_10_12 , _r_2_34 , 3712.0 , 47
_r_1_10_12 , _r_2_34_35 , 1856.0 , 218
_r_1_10_12 , _r_2_34_36 , 1856.0 , 47
_r_1_10_12 , _r_2_34_37 , 1856.0 , 219
_r_1_10_12 , _r_2_38 , 3712.0 , 46
_r_1_10_12 , _r_2_38_41 , 3712.0 , 219
_r_1_10_12 , _r_2_38_42 , 1856.0 , 47
_r_1_10_13 , _r_1_10_14 , 1856.0 , 234
_r_1_10_13 , _r_1_22 , 3712.0 , 46
_r_1_10_13 , _r_1_22_23 , 1152.0 , 219
_r_1_10_13 , _r_1_22_25 , 1152.0 , 62
_r_1_10_13 , _r_1_22_26 , 1152.0 , 203
_r_1_10_13 , _r_1_27 , 3712.0 , 47
_r_1_10_13 , _r_1_27_28 , 128.0 , 218
_r_1_10_13 , _r_1_27_29 , 3456.0 , 47
_r_1_10_13 , _r_1_27_29_30 , 2304.0 , 218
_r_1_10_13 , _r_1_27_29_31 , 2304.0 , 47
_r_1_10_13 , _r_1_27_29_32 , 2304.0 , 219
_r_1_10_13 , _r_1_3 , 3712.0 , 46
_r_1_10_13 , _r_1_3_4 , 1856.0 , 219
_r_1_10_13 , _r_1_3_5 , 1856.0 , 47
_r_1_10_13 , _r_1_7 , 3712.0 , 218
_r_1_10_13 , _r_1_8 , 3712.0 , 47
_r_1_10_13 , _r_1_9 , 3712.0 , 218
_r_1_10_13 , _r_2 , 3712.0 , 47
_r_1_10_13 , _r_2_33 , 3712.0 , 218
_r_1_10_13 , _r_2_34 , 3712.0 , 47
_r_1_10_13 , _r_2_34_35 , 1856.0 , 219
_r_1_10_13 , _r_2_34_36 , 1856.0 , 62
_r_1_10_13 , _r_2_34_37 , 1856.0 , 203
_r_1_10_13 , _r_2_38 , 3712.0 , 62
_r_1_10_13 , _r_2_38_41 , 3712.0 , 203
_r_1_10_13 , _r_2_38_42 , 1856.0 , 62
_r_1_10_14 , _r_1_22 , 1856.0 , 219
_r_1_10_14 , _r_1_22_23 , 576.0 , 62
_r_1_10_14 , _r_1_22_25 , 576.0 , 203
_r_1_10_14 , _r_1_22_26 , 576.0 , 47
_r_1_10_14 , _r_1_27 , 1856.0 , 218
_r_1_10_14 , _r_1_27_28 , 64.0 , 63
_r_1_10_14 , _r_1_27_29 , 1728.0 , 202
_r_1_10_14 , _r_1_27_29_30 , 1152.0 , 78
_r_1_10_14 , _r_1_27_29_31 , 1152.0 , 203
_r_1_10_14 , _r_1_27_29_32 , 1152.0 , 63
_r_1_10_14 , _r_1_3 , 1856.0 , 202
_r_1_10_14 , _r_1_3_4 , 928.0 , 63
_r_1_10_14 , _r_1_3_5 , 928.0 , 203
_r_1_10_14 , _r_1_7 , 1856.0 , 62
_r_1_10_14 , _r_1_8 , 1856.0 , 203
_r_1_10_14 , _r_1_9 , 1856.0 , 62
_r_1_10_14 , _r_2 , 1856.0 , 219
_r_1_10_14 , _r_2_33 , 1856.0 , 46
