FAMA-REAL-FM-8.xml , 17 , 28.0 , 47
colant , distance , 8.0 , 187
colant , drive , 8.0 , 32
colant , engine , 14.0 , 140
colant , engine_performance , 14.0 , 47
colant , exhaust_level_temp , 14.0 , 140
colant , fuel_consumption , 14.0 , 31
colant , gallon_mile , 7.0 , 141
colant , l_km , 7.0 , 31
colant , measures , 14.0 , 140
colant , methods , 14.0 , 47
colant , monitor_engine_system , 14.0 , 125
colant , oil , 14.0 , 47
colant , rpm , 14.0 , 140
colant , temperatures , 14.0 , 31
colant , transmission , 14.0 , 141
colant , type_of_driving , 8.0 , 31
distance , drive , 8.0 , 140
distance , engine , 16.0 , 32
distance , engine_performance , 16.0 , 140
distance , exhaust_level_temp , 16.0 , 47
distance , fuel_consumption , 16.0 , 140
distance , gallon_mile , 8.0 , 47
distance , l_km , 8.0 , 125
distance , measures , 16.0 , 47
distance , methods , 16.0 , 124
distance , monitor_engine_system , 16.0 , 31
distance , oil , 16.0 , 125
distance , rpm , 16.0 , 47
distance , temperatures , 16.0 , 125
distance , transmission , 16.0 , 46
distance , type_of_driving , 8.0 , 141
drive , engine , 16.0 , 31
drive , engine_performance , 16.0 , 140
drive , exhaust_level_temp , 16.0 , 32
drive , fuel_consumption , 16.0 , 140
drive , gallon_mile , 8.0 , 31
drive , l_km , 8.0 , 141
drive , measures , 16.0 , 46
drive , methods , 16.0 , 125
drive , monitor_engine_system , 16.0 , 31
drive , oil , 16.0 , 141
drive , rpm , 16.0 , 31
drive , temperatures , 16.0 , 140
drive , transmission , 16.0 , 47
drive , type_of_driving , 8.0 , 125
engine , engine_performance , 28.0 , 47
engine , exhaust_level_temp , 28.0 , 125
engine , fuel_consumption , 28.0 , 46
engine , gallon_mile , 14.0 , 125
engine , l_km , 14.0 , 47
engine , measures , 28.0 , 125
engine , methods , 28.0 , 47
engine , monitor_engine_system , 28.0 , 124
engine , oil , 28.0 , 47
engine , rpm , 28.0 , 141
engine , temperatures , 28.0 , 31
engine , transmission , 28.0 , 140
engine , type_of_driving , 16.0 , 31
engine_performance , exhaust_level_temp , 28.0 , 141
engine_performance , fuel_consumption , 28.0 , 47
engine_performance , gallon_mile , 14.0 , 124
engine_performance , l_km , 14.0 , 47
engine_performance , measures , 28.0 , 125
engine_performance , methods , 28.0 , 31
engine_performance , monitor_engine_system , 28.0 , 141
engine_performance , oil , 28.0 , 46
engine_performance , rpm , 28.0 , 141
engine_performance , temperatures , 28.0 , 31
engine_performance , transmission , 28.0 , 140
engine_performance , type_of_driving , 16.0 , 32
exhaust_level_temp , fuel_consumption , 28.0 , 140
exhaust_level_temp , gallon_mile , 14.0 , 31
exhaust_level_temp , l_km , 14.0 , 125
exhaust_level_temp , measures , 28.0 , 47
exhaust_level_temp , methods , 28.0 , 125
exhaust_level_temp , monitor_engine_system , 28.0 , 31
exhaust_level_temp , oil , 28.0 , 140
exhaust_level_temp , rpm , 28.0 , 31
exhaust_level_temp , temperatures , 28.0 , 141
exhaust_level_temp , transmission , 28.0 , 31
exhaust_level_temp , type_of_driving , 16.0 , 140
fuel_consumption , gallon_mile , 14.0 , 32
fuel_consumption , l_km , 14.0 , 140
fuel_consumption , measures , 28.0 , 31
fuel_consumption , methods , 28.0 , 141
fuel_consumption , monitor_engine_system , 28.0 , 31
fuel_consumption , oil , 28.0 , 125
fuel_consumption , rpm , 28.0 , 46
fuel_consumption , temperatures , 28.0 , 125
fuel_consumption , transmission , 28.0 , 47
fuel_consumption , type_of_driving , 16.0 , 125
gallon_mile , l_km , 0.0 , 47
gallon_mile , measures , 14.0 , 124
gallon_mile , methods , 14.0 , 47
gallon_mile , monitor_engine_system , 14.0 , 141
gallon_mile , oil , 14.0 , 31
gallon_mile , rpm , 14.0 , 125
gallon_mile , temperatures , 14.0 , 31
gallon_mile , transmission , 14.0 , 125
gallon_mile , type_of_driving , 8.0 , 47
l_km , measures , 14.0 , 125
l_km , methods , 14.0 , 47
l_km , monitor_engine_system , 14.0 , 124
l_km , oil , 14.0 , 47
l_km , rpm , 14.0 , 125
l_km , temperatures , 14.0 , 47
l_km , transmission , 14.0 , 125
l_km , type_of_driving , 8.0 , 46
measures , methods , 28.0 , 125
measures , monitor_engine_system , 28.0 , 47
measures , oil , 28.0 , 125
measures , rpm , 28.0 , 31
measures , temperatures , 28.0 , 140
measures , transmission , 28.0 , 47
measures , type_of_driving , 16.0 , 125
methods , monitor_engine_system , 28.0 , 47
methods , oil , 28.0 , 125
methods , rpm , 28.0 , 46
methods , temperatures , 28.0 , 125
methods , transmission , 28.0 , 47
methods , type_of_driving , 16.0 , 125
monitor_engine_system , oil , 28.0 , 31
monitor_engine_system , rpm , 28.0 , 124
monitor_engine_system , temperatures , 28.0 , 32
monitor_engine_system , transmission , 28.0 , 140
monitor_engine_system , type_of_driving , 16.0 , 31
oil , rpm , 28.0 , 141
oil , temperatures , 28.0 , 31
oil , transmission , 28.0 , 125
oil , type_of_driving , 16.0 , 46
rpm , temperatures , 28.0 , 125
rpm , transmission , 28.0 , 47
rpm , type_of_driving , 16.0 , 125
temperatures , transmission , 28.0 , 31
temperatures , type_of_driving , 16.0 , 140
transmission , type_of_driving , 16.0 , 32
11716,136
